#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-04-05T08:57:08 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-05T08:57:08	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/219/4/table7&-out.all&-out.max=99999	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_219_4_table7:
#Name: J/ApJS/219/4/table7
#Title: *Parameters of final multicomponent decompositions
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I4)	[1/2352] Running sequence number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id]
#Column	Mod	(a8)	Type of final decomposition model (1)	[ucd=meta.note]
#Column	Nc	(I1)	[1/4] Number of components in the model (1-4)	[ucd=meta.number]
#Column	Q	(I1)	[3/5] Quality flag, 5=most reliable (2)	[ucd=meta.code.qual]
#Column	C	(a7)	Phsical interpretation of the component (1)	[ucd=meta.id;stat.fit]
#Column	Fn	(A8)	The GALFIT function used for the component (sersic, edgedisk, expdisk, ferrer2 or psf)	[ucd=meta.id;stat.fit]
#Column	f1	(F6.3)	[0.006/1]? "sersic" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag1	(F6.3)	[7/19.4]? "sersic" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q1	(F6.3)	[0.1/1]? "sersic" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA1	(F6.2)	[0.08/180]? "sersic" position angle (3)	[ucd=pos.posAng]
#Column	Re	(F6.2)	[0.004/430]? "sersic" effective radius (R_e_)	[ucd=phys.angSize]
#Column	n	(F6.3)	[0.01/20]? "sersic" parameter n	[ucd=stat.fit.param]
#Column	f2	(F6.3)	[0.02/1]? "edgedisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mu02	(F6.3)	[11.8/24.6]? "edgedisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	PA2	(F6.2)	[-90/90]? "edgedisk" PA	[ucd=pos.posAng]
#Column	hr2	(F6.2)	[1/153]? "edgedisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	hz2	(F5.2)	[0.003/39]? "edgedisk" z-scale h_z_	[ucd=stat.fit.param]
#Column	f3	(F6.3)	[0.02/1]? "expdisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag3	(F6.3)	[6.5/18.1]? "expdisk" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q3	(F6.3)	[0.1/1]? "expdisk" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA3	(F6.2)	[-90/90]? "expdisk" position angle (3)	[ucd=pos.posAng]
#Column	hr3	(F6.2)	[0.7/332]? "expdisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	mu03	(F6.3)	[16.4/25.3]? "expdisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	f4	(F6.3)	[0.003/0.6]? "ferrer2" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mu04	(F6.3)	[16/24.8]? "ferrer2" central surface sky brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	q4	(F6.3)	[0.01/1]? "ferrer2" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA4	(F6.2)	[-90/90]? "ferrer2" position angle (3)	[ucd=pos.posAng]
#Column	Rbar	(F6.2)	[3.7/232.5]? "ferrer2" outer truncation radius of the bar (R_bar_)	[ucd=phys.size.radius]
#Column	f5	(F6.3)	[0.001/0.4]? "psf" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag5	(F6.3)	[11.5/21.1]? "psf" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
recno	Seq	Name	Mod	Nc	Q	C	Fn	f1	mag1	q1	PA1	Re	n	f2	mu02	PA2	hr2	hz2	f3	mag3	q3	PA3	hr3	mu03	f4	mu04	q4	PA4	Rbar	f5	mag5
      26	  12	ESO079-005	_dbar   	2	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.714	13.841	 0.589	 -8.81	 21.54	22.503	      	      	      	      	      	      	
      27	  12	ESO079-005	_dbar   	2	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.286	21.918	 0.201	 10.52	 56.45	      	
      28	  13	ESO079-007	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.035	21.733	 0.146	 19.28	 22.47	      	
      29	  13	ESO079-007	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.965	13.401	 0.808	 18.28	 14.50	21.202	      	      	      	      	      	      	
      30	  14	ESO085-014	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.890	13.120	 0.370	 83.63	 31.01	22.573	      	      	      	      	      	      	
      31	  14	ESO085-014	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.110	21.991	 0.155	 69.59	 51.68	      	
      32	  15	ESO085-030	_bz     	2	4	B      	sersic  	 0.562	13.771	 0.420	146.28	 11.96	 1.084	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      33	  15	ESO085-030	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.438	21.112	-29.62	  9.70	11.08	      	      	      	      	      	      	      	      	      	      	      	      	
      34	  16	ESO085-047	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.147	16.928	 0.294	 40.18	  9.93	23.908	      	      	      	      	      	      	
      35	  16	ESO085-047	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.853	14.988	 0.539	 31.59	 25.30	23.999	      	      	      	      	      	      	
      36	  17	ESO107-016	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	 1.000	21.793	 86.08	 15.23	 4.59	      	      	      	      	      	      	      	      	      	      	      	      	
      37	  18	ESO114-007	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.685	 0.772	-50.58	 13.04	22.256	      	      	      	      	      	      	
      38	  19	ESO115-021	_bz     	2	4	B      	sersic  	 0.574	13.649	 0.324	 43.33	120.33	 1.849	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      39	  19	ESO115-021	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.426	22.949	 42.16	 54.04	10.83	      	      	      	      	      	      	      	      	      	      	      	      	
      40	  21	ESO119-016	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.286	 0.362	 25.26	 32.72	23.856	      	      	      	      	      	      	
      41	  22	ESO120-012	_dd     	2	5	D      	sersic  	 0.291	15.169	 0.373	100.20	 32.85	 0.955	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      42	  22	ESO120-012	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.709	14.191	 0.675	 86.41	 20.30	22.723	      	      	      	      	      	      	
      43	  23	ESO120-021	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.029	 0.500	-68.78	 23.54	23.883	      	      	      	      	      	      	
      44	  24	ESO145-025	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.923	14.164	 0.666	-68.38	 28.86	23.460	      	      	      	      	      	      	
      45	  24	ESO145-025	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.077	24.245	 0.310	-15.37	 51.37	      	
      46	  25	ESO146-014	_bz     	2	4	B      	sersic  	 0.081	17.674	 0.322	 46.72	  7.62	 0.358	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      47	  25	ESO146-014	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.919	22.722	 49.16	 28.84	 6.68	      	      	      	      	      	      	      	      	      	      	      	      	
      48	  26	ESO149-001	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	13.168	 0.250	 27.71	 28.44	22.433	      	      	      	      	      	      	
      49	  27	ESO149-003	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.462	 0.329	-32.40	 15.52	23.411	      	      	      	      	      	      	
      50	  28	ESO150-005	_dd     	2	5	D      	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.037	23.047	 0.834	 78.92	 15.89	      	
      51	  28	ESO150-005	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.963	13.569	 0.821	 12.20	 34.63	23.261	      	      	      	      	      	      	
      52	  29	ESO154-023	_d      	1	3	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	12.455	 0.161	 39.76	 95.46	24.350	      	      	      	      	      	      	
      53	  30	ESO157-049	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	 0.448	20.239	 29.26	 12.64	 6.19	      	      	      	      	      	      	      	      	      	      	      	      	
      54	  30	ESO157-049	_zzn    	3	4	Z      	edgedisk	      	      	      	      	      	      	 0.540	18.029	 22.96	 11.86	 1.38	      	      	      	      	      	      	      	      	      	      	      	      	
      55	  30	ESO157-049	_zzn    	3	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.012	17.424
      56	  31	ESO159-025	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.843	 0.788	 71.58	 17.61	23.067	      	      	      	      	      	      	
      57	  32	ESO187-035	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.319	 0.556	-52.55	 15.39	23.251	      	      	      	      	      	      	
      58	  33	ESO187-051	_d      	1	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.396	 0.324	  8.52	 39.55	24.377	      	      	      	      	      	      	
      59	  34	ESO202-035	_bz     	2	4	B      	sersic  	 0.309	13.674	 0.166	129.80	 38.39	 4.459	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      60	  34	ESO202-035	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.692	19.500	-44.82	 15.13	 4.68	      	      	      	      	      	      	      	      	      	      	      	      	
      61	  35	ESO202-041	_dbar   	2	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.872	15.423	 0.680	-25.50	 16.55	23.512	      	      	      	      	      	      	
      62	  35	ESO202-041	_dbar   	2	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.128	23.430	 0.194	-11.36	 33.46	      	
      63	  36	ESO234-043	_dbarn  	3	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.862	13.996	 0.669	-88.70	 28.83	23.291	      	      	      	      	      	      	
      64	  36	ESO234-043	_dbarn  	3	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.131	22.537	 0.244	 52.80	 36.79	      	
      65	  36	ESO234-043	_dbarn  	3	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.007	19.404
      66	  37	ESO234-049	_dd     	2	5	D      	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.070	21.274	 0.530	-26.81	 17.34	      	
      67	  37	ESO234-049	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.930	12.905	 0.925	 78.23	 14.60	20.722	      	      	      	      	      	      	
      68	  38	ESO236-039	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.452	 0.465	 83.73	 10.20	22.491	      	      	      	      	      	      	
      69	  39	ESO237-049	_zn     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.987	20.985	 35.77	 14.86	 3.70	      	      	      	      	      	      	      	      	      	      	      	      	
      70	  39	ESO237-049	_zn     	2	4	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.013	19.355
      71	  40	ESO237-052	_bdbarf 	3	5	B      	sersic  	 0.030	17.987	 0.634	 14.58	  4.34	 0.955	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      72	  40	ESO237-052	_bdbarf 	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.944	14.231	 0.484	 59.71	 14.37	22.014	      	      	      	      	      	      	
      73	  40	ESO237-052	_bdbarf 	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.026	22.462	 0.228	 53.60	 15.00	      	
      74	  41	ESO238-018	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.958	14.317	 0.910	  7.52	 10.06	21.326	      	      	      	      	      	      	
      75	  41	ESO238-018	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.042	21.242	 0.195	-47.82	 11.25	      	
      76	  42	ESO240-004	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	 1.000	22.369	-40.10	 14.06	 4.93	      	      	      	      	      	      	      	      	      	      	      	      	
      77	  43	ESO240-011	_bz     	2	4	B      	sersic  	 0.190	12.831	 0.607	115.96	  9.94	 4.013	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      78	  43	ESO240-011	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.810	18.562	-52.51	 28.56	 4.66	      	      	      	      	      	      	      	      	      	      	      	      	
      79	  44	ESO245-005	_dd     	2	3	D      	sersic  	 0.135	15.124	 0.405	114.21	 58.48	 0.162	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      80	  44	ESO245-005	_dd     	2	3	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.865	12.596	 0.738	-41.86	 83.24	24.193	      	      	      	      	      	      	
      81	  45	ESO245-007	_d      	1	3	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	12.588	 0.926	 34.30	 74.32	23.939	      	      	      	      	      	      	
      82	  46	ESO248-002	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.982	13.340	 0.243	 14.59	 29.78	22.704	      	      	      	      	      	      	
      83	  46	ESO248-002	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.018	22.697	 0.223	 33.30	 21.00	      	
      84	  47	ESO249-008	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.406	14.991	 0.678	-19.14	  3.74	19.850	      	      	      	      	      	      	
      85	  47	ESO249-008	_dd     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.594	14.566	 0.678	-19.14	 10.72	21.712	      	      	      	      	      	      	
      86	  48	ESO249-026	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	15.479	 0.541	 -7.79	 14.57	23.293	      	      	      	      	      	      	
      87	  49	ESO249-027	_d      	1	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 1.000	14.858	 0.332	 85.28	 16.59	22.953	      	      	      	      	      	      	
      88	  50	ESO249-035	_z      	1	4	Z      	edgedisk	      	      	      	      	      	      	 1.000	22.488	-82.09	 11.25	 3.08	      	      	      	      	      	      	      	      	      	      	      	      	
      89	  52	ESO285-048	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.972	13.056	 0.425	 81.85	 20.50	21.611	      	      	      	      	      	      	
      90	  52	ESO285-048	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.028	19.665	 0.067	-80.39	 13.50	      	
      91	  53	ESO286-044	_b      	1	5	B      	sersic  	 1.000	12.578	 0.589	123.10	 37.69	18.166	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
